Point_ID,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101,Feature102,Feature103,Feature104,Feature105,Feature106,Feature107,Feature108,Feature109,Feature110,Feature111,Feature112,Feature113,Feature114,Feature115,Feature116,Feature117,Feature118,Feature119,Feature120,Feature121,Feature122,Feature123,Feature124,Feature125,Feature126,Feature127,Feature128,Feature129,Feature130,Feature131,Feature132,Feature133,Feature134,Feature135,Feature136,Feature137,Feature138,Feature139,Feature140,Feature141,Feature142,Feature143,Feature144,Feature145,Feature146,Feature147,Feature148,Feature149,Feature150,Feature151,Feature152,Feature153,Feature154,Feature155,Feature156,Feature157,Feature158,Feature159,Feature160,Feature161,Feature162,Feature163,Feature164,Feature165,Feature166,Feature167,Feature168,Feature169,Feature170,Feature171,Feature172,Feature173,Feature174,Feature175,Feature176,Feature177,Feature178,Feature179,Feature180,Feature181,Feature182,Feature183,Feature184,Feature185,Feature186,Feature187,Feature188,Feature189,Feature190,Feature191,Feature192,Feature193,Feature194,Feature195,Feature196,Feature197,Feature198,Feature199,Feature200,Feature201,Feature202,Feature203,Feature204,Feature205,Feature206,Feature207,Feature208,Feature209,Feature210,Feature211,Feature212,Feature213,Feature214,Feature215,Feature216,Feature217,Feature218,Feature219,Feature220,Feature221,Feature222,Feature223,Feature224,Feature225,Feature226,Feature227,Feature228,Feature229,Feature230,Feature231,Feature232,Feature233,Feature234,Feature235,Feature236,Feature237,Feature238,Feature239,Feature240,Feature241,Feature242,Feature243,Feature244,Feature245,Feature246,Feature247,Feature248,Feature249,Feature250,Feature251,Feature252,Feature253,Feature254,Feature255,Feature256,Feature257,Feature258,Feature259,Feature260,Feature261,Feature262,Feature263,Feature264,Feature265
456,33206,33040,-1939,-29704,16398,8970,-38478,-17823,-29329,20353,16959,12066,14269,-8871,13816,-17049,-26262,39939,21382,3183,-43742,-3064,-4019,-40741,26899,-16718,-3476,16486,4283,16830,16124,2019,24708,2530,-9093,-3512,-21173,9146,-7383,3858,-38768,1520,25080,-20133,14639,41475,-1884,35252,20712,40592,-25010,-19931,19775,6078,-3992,-18921,-12525,7625,7543,-9138,-37489,-7248,23189,-5808,-16085,-15217,-18598,3100,6620,-1878,-50118,9100,46195,35208,-22131,-12956,-25003,17351,34377,-34920,20286,1741,-18141,-37741,34632,14109,-9363,-25929,-17905,-15460,22021,-4950,9628,20325,23137,57343,12159,15478,-18288,-11074,15262,12921,-18827,29222,-11614,-35175,24521,19767,7029,13072,4366,9887,-4185,-28657,-7856,-29136,-22321,-17341,-42305,12928,-16359,-49910,454,-11538,4242,-69021,-14116,-30699,47899,-992,-13782,52980,1932,-28200,-40904,-31401,-8581,3348,-1825,18401,-51086,506,-1477,28314,3951,24600,8318,16783,-5587,-1948,18671,-7851,19329,73441,-12492,24461,-9302,25802,-58179,-20363,20982,-1907,36161,11986,18068,-24537,-13702,32109,-14671,-27697,-3466,30890,-24241,33925,-7618,15029,17671,18583,-4864,34531,-21273,43497,9206,69432,-29525,-6167,37587,32434,-38492,-20646,26850,-10342,23677,2120,10702,11680,12377,-5681,-13145,-7589,25891,-2055,5492,-6903,30752,-34235,-12172,71,23265,5289,-13752,-3201,28233,4415,7916,3574,-18457,3130,-29347,-66799,-2543,-4432,6956,-9082,-43076,-21704,47833,49756,-33015,-9270,24931,-24766,13315,37332,13790,6204,10690,-33800,31159,3059,-43588,-33132,-121,-50663,5232,-11968,-12927,-46186,15665,-1134,-6147,38754,26912,-18196,49890,29923,5618,-46384,-10950,2955,3919,-20191,-25647,-15755,-14565
457,35647,30723,-3250,-29793,17152,7530,-39352,-17365,-29062,22281,17404,12932,14949,-14750,11972,-16961,-24258,42640,21084,5820,-42350,-817,-1737,-39936,30426,-18513,-4589,18969,2912,16351,13041,1468,27245,-663,-7489,-3836,-22470,9249,-11441,-1792,-36526,3749,25667,-18402,15368,41378,-474,33870,17111,40741,-27480,-18819,21029,8817,-981,-18753,-12696,10674,11330,-11865,-38740,-8972,19038,-2350,-15668,-15383,-19122,7292,7497,-447,-52304,8385,43792,39831,-19478,-13465,-26579,19696,36634,-32012,18018,3607,-14718,-36091,38211,9234,-9968,-27636,-14911,-17886,28175,-4056,10022,17373,23424,56474,13293,18657,-17052,-11511,20592,10250,-19868,27115,-10217,-36360,27605,23378,6104,13433,1595,11307,-2649,-32474,-6551,-30622,-20991,-18857,-44925,12686,-20314,-50081,-2954,-15897,6988,-64196,-13747,-35142,47270,-602,-18807,52081,516,-25948,-35420,-30572,-7569,832,1161,19431,-47576,-173,-6322,29304,9335,23797,7900,13637,-5541,-3471,16489,-6968,21591,71298,-11896,25313,-5355,29153,-59151,-16337,20591,-1879,36615,14387,19616,-22795,-15880,33449,-11267,-28152,-3691,29577,-22718,33987,-6897,17040,20857,21109,-7465,34561,-17075,44765,12054,66148,-30635,-5987,38551,31942,-46642,-19262,23192,-10003,23337,2146,13453,10447,18524,-12031,-12293,-10771,26822,-975,2800,-8103,30933,-38379,-15255,-1810,20986,6336,-7781,-7216,28160,4880,2987,6130,-17586,-684,-29409,-65683,861,88,6748,-6383,-43979,-23522,45569,53152,-37496,-10365,26326,-22755,13597,36935,18354,6581,14414,-34171,30569,197,-44923,-36500,-3153,-45080,4981,-14838,-12763,-49337,7421,-1450,-6715,37984,19970,-14122,48626,31049,3663,-46997,-13666,5856,9566,-15416,-22846,-11585,-16491
458,31895,31446,-840,-33521,18633,9782,-38497,-16793,-30846,21880,18403,9629,14423,-11314,13444,-16259,-25515,40424,20163,2549,-42518,-1780,-4106,-42536,25855,-15852,-2846,17533,4097,15022,14785,3725,22159,1951,-9962,-2479,-21539,8374,-8485,-597,-41235,2543,24863,-17909,17692,40153,-762,34926,17993,41141,-24656,-19328,19281,7334,267,-18999,-13271,7466,6770,-10899,-39702,-6522,21025,-5445,-16892,-13702,-20504,5285,8303,-189,-54200,8395,44926,33421,-19522,-12444,-26733,17022,35924,-33773,22050,2494,-19375,-37597,38398,9054,-10799,-25118,-17595,-18197,25432,-2893,12997,21731,23231,58876,14865,15832,-16124,-10568,18071,12646,-17272,31963,-12409,-33298,23468,20561,4905,17703,2743,6930,-2940,-31257,-6800,-27400,-20656,-19015,-42894,10184,-16726,-52428,-239,-14986,5486,-65753,-12673,-34221,48796,-2148,-14510,49107,3878,-26506,-40864,-32832,-9223,2983,-2378,16555,-49876,583,-4099,28624,5288,25489,8371,16082,-5643,-3801,19569,-9973,17855,71768,-11297,22603,-6256,25574,-60543,-21645,25275,-2133,36162,17176,19583,-26481,-15524,30586,-11331,-28712,-3224,31910,-20063,36120,-7702,20933,19174,24009,-4605,31657,-19569,43796,10759,68595,-31665,-4653,39268,29117,-38772,-19852,25070,-13010,22482,3624,9349,11861,13147,-6921,-13476,-9139,25009,-1216,4313,-6405,32047,-32753,-14350,1041,24621,3066,-12749,-2339,28196,2657,7206,5156,-17417,583,-30646,-69671,-2374,-632,9511,-10633,-45458,-23518,44430,50421,-33310,-9627,24247,-23048,15032,37138,13792,4385,12978,-31720,33170,4811,-43240,-36089,922,-47900,6214,-14903,-11673,-49996,12699,1189,-7315,41672,22841,-17929,49508,29004,3337,-44709,-7801,7372,7123,-23220,-27402,-12646,-14897
459,34007,31345,-3925,-34006,18761,8594,-37144,-16760,-31090,22819,15517,9523,17230,-12799,13039,-16752,-23164,40411,21534,3546,-44273,-2910,-1800,-39906,27301,-18443,-4174,18990,2667,18221,15006,2122,24172,18,-8885,-3019,-24027,11779,-9433,396,-37391,437,24522,-21292,15057,42945,-1458,35999,19415,40624,-28029,-18482,21536,10071,-46,-20779,-11662,9267,9279,-11370,-39682,-5717,19271,-3070,-15486,-16577,-19136,6301,7416,1357,-53365,7926,43212,38917,-19657,-15107,-24399,19597,37432,-32611,21654,2341,-16614,-34988,37752,10626,-11624,-26779,-17598,-16834,26337,-5143,11754,19540,23888,57197,14617,16864,-17735,-8652,18884,12111,-18237,27843,-15339,-33503,24921,19766,5567,16385,3651,10764,-3782,-33342,-5338,-28740,-19021,-17672,-41598,13171,-20069,-52457,-2203,-19174,5775,-65875,-13172,-34121,49207,1061,-17505,50184,551,-29689,-38253,-31999,-7092,3058,-1140,19674,-50395,1304,-5518,28427,9270,23050,6897,16530,-5981,-2698,17309,-8355,17898,72362,-11767,22466,-7075,28032,-59252,-18051,23009,-2828,37948,16022,19627,-24747,-14827,32830,-12964,-30353,-3343,30921,-20699,36215,-9491,19677,20724,22710,-6184,35034,-15131,45332,14157,67764,-32294,-2496,39122,32204,-43328,-18857,25361,-12352,24010,2651,10618,10567,14931,-11918,-9547,-9366,27839,-670,4030,-8332,31715,-35189,-15288,-4301,24707,3752,-9725,-5200,30590,140,3922,4435,-16803,-544,-30624,-70473,-2486,-2779,8704,-11110,-44698,-21092,47512,52658,-33306,-11410,27531,-22811,16808,38403,17820,8178,10641,-30526,29319,2108,-42756,-36765,-2228,-45887,5694,-15526,-14042,-49264,9312,-3324,-7525,39153,21621,-16472,47468,30805,3565,-47149,-10534,6526,10925,-18741,-26236,-14512,-16654
460,34072,32419,-2566,-30940,15230,7286,-39395,-16766,-30453,20409,16385,9182,14413,-9937,11240,-14910,-23354,40273,24349,2307,-43012,-1715,-2382,-39981,26576,-17101,-432,17963,1367,16187,14950,1610,22286,1031,-10454,2,-22335,10932,-7717,-842,-37512,3594,25200,-19512,17807,40359,-858,34446,20716,40260,-27683,-17890,19846,8841,492,-18482,-12272,6834,6476,-11694,-40398,-6446,21512,-3329,-18083,-15539,-18463,5785,6264,-53,-50679,7415,43890,37315,-19641,-12959,-24127,18841,35304,-33459,22693,3395,-15837,-37912,35887,9819,-12497,-24542,-17213,-17869,27160,-3449,11283,21746,19450,55717,14524,14892,-18503,-9154,17122,10618,-20618,29002,-11463,-33844,24063,21118,5795,17128,3238,10235,-3740,-33860,-9450,-29732,-21002,-17371,-41763,14436,-18888,-53293,-2007,-15472,7715,-65903,-13317,-32656,49644,-1498,-14417,52998,2220,-28935,-39116,-33024,-9091,3569,245,17331,-50160,874,-6936,27001,7665,22758,7497,15072,-4940,-4384,19065,-8962,21223,73453,-11855,23914,-8020,30170,-58122,-19658,23598,-1048,37036,15420,20060,-24209,-15331,31482,-12165,-28452,-2355,31370,-20786,36554,-8773,15491,16425,23335,-6168,33161,-18482,45820,12179,67360,-31594,-6032,38331,31950,-40973,-19307,24323,-12116,24140,2289,14088,11413,14143,-10478,-14254,-6067,25724,-801,4332,-7568,29863,-33823,-16746,612,22150,5460,-11771,-3206,26747,863,6778,5092,-18914,914,-30049,-66386,-657,456,9331,-9761,-42983,-22552,44438,49781,-33907,-7957,27491,-21336,14339,34138,16860,4671,9648,-31059,29974,3996,-44509,-32823,552,-48623,7488,-15771,-11516,-47446,12059,-1894,-7356,39053,23604,-15524,48804,28848,6270,-48768,-10815,2582,6904,-18776,-26596,-11009,-14963
461,33578,32587,-3317,-28218,14617,8936,-38920,-15291,-33256,20616,18595,9449,15321,-11891,13186,-16740,-24608,41993,24754,3892,-42085,-3589,501,-37873,26087,-18897,-5487,16559,4877,14485,13027,85,24760,680,-9129,-3265,-21650,9514,-7836,1378,-36050,2472,23622,-19388,15749,43578,-3380,37107,20572,39116,-25382,-16085,18872,6245,-5170,-18535,-12184,8606,8342,-11714,-37736,-9688,21538,-2350,-16185,-15613,-20488,6039,5541,-4122,-51748,5825,44234,40087,-20313,-11483,-23839,20601,36218,-34495,20935,2941,-14598,-36266,38725,11124,-11048,-24499,-18655,-18588,23860,-4095,10515,21970,20491,56371,15376,15347,-18536,-8953,16053,9585,-19086,26349,-12690,-34270,27133,22171,7362,12949,3321,12637,-4591,-31959,-4901,-27548,-22861,-16575,-42437,14781,-19216,-49152,-2502,-15526,5165,-66326,-13195,-33518,48021,891,-15491,54239,2510,-29246,-37153,-31563,-6775,3553,-1477,18015,-50018,-709,-4794,30491,9242,24876,4492,15651,-5018,-4579,18749,-7748,18492,71266,-13340,23284,-6125,29919,-55958,-17885,20592,-2123,39060,14793,17364,-26880,-13291,33026,-11688,-27431,-2012,31446,-22352,36226,-5426,15347,18350,21659,-4165,33510,-17339,44923,12034,66376,-31441,-5342,40489,31199,-44761,-18408,25416,-10656,23301,2206,13294,10395,15063,-11150,-13026,-8388,24622,-3032,3442,-7897,31121,-35677,-16706,1367,22701,6008,-9154,-5413,28731,981,4132,4828,-17629,-1440,-29623,-69543,-366,-2996,7749,-8923,-43400,-22322,47651,50582,-33988,-9948,26982,-23666,14170,33109,16001,6369,9968,-31175,29666,-960,-44983,-32713,-1536,-47046,6537,-14014,-11962,-51443,11692,-1308,-8267,37410,21838,-15616,50966,30282,1888,-47734,-12903,1964,6630,-19081,-23899,-16178,-16118
462,35862,31091,-4654,-27301,14892,9339,-38101,-16566,-31406,22265,17893,8382,17289,-11529,10507,-14435,-26090,41880,22287,3866,-39756,-1564,208,-37916,25443,-18051,-3579,18007,1421,15905,12998,-2255,25520,-890,-7354,-2316,-20755,10085,-9322,-2860,-34061,3400,25870,-18884,12395,42280,-1538,36008,19233,40928,-27041,-17438,18443,9105,-1284,-17785,-11210,11699,10579,-11122,-38242,-7661,20189,-2468,-17301,-17462,-18300,7262,6540,709,-50572,7671,40301,39505,-19292,-13486,-22677,21569,36137,-33889,19243,2624,-14731,-37106,37089,8299,-12261,-25538,-16116,-18860,25283,-5820,12349,19004,22968,55396,11684,16309,-17836,-10009,17368,8430,-20114,28384,-12612,-31472,28227,22206,6122,14414,1595,9677,-5571,-33902,-5884,-28478,-20254,-19334,-44512,14900,-19716,-51229,-5403,-17621,5981,-65725,-13118,-34682,48930,358,-17984,52149,2622,-26368,-37126,-29591,-6700,1046,197,20409,-49918,-614,-6209,28907,8708,24767,6278,13445,-7181,-6565,16195,-8747,20488,69126,-13405,21869,-6229,30576,-57560,-15846,19700,-591,38109,15063,17261,-27860,-16933,32609,-13207,-29644,-4094,30991,-22183,33329,-5951,16505,20176,23870,-5953,36649,-15376,46478,15102,66129,-30276,-4662,37962,31978,-43631,-19109,23289,-10424,21905,2486,11346,12269,13751,-11214,-11489,-11600,25475,-506,1635,-9511,32773,-35631,-15010,676,23233,9510,-10072,-7066,28469,3351,5360,4196,-18660,-2862,-28956,-66531,-191,-2430,5615,-10580,-43830,-20840,47171,50825,-37554,-11028,30119,-20450,14722,36049,20270,8591,12435,-30298,27699,3376,-46069,-35323,-1120,-44565,6059,-13435,-10583,-50022,10479,149,-7412,39517,19638,-15485,47973,31149,2894,-47031,-13967,4838,10042,-17201,-25163,-13807,-14654
463,34017,30978,-2782,-30107,17460,8775,-39220,-17398,-32420,20749,16122,10822,17616,-12664,12829,-17853,-25242,41017,22005,5733,-43117,-4075,-3559,-38905,27421,-19045,-3517,18085,3279,18220,14422,2642,27379,368,-9610,-2006,-23403,8552,-9316,2764,-39324,338,23939,-18041,14566,41746,-4850,35941,19626,40021,-27630,-18158,17678,8294,-3978,-18703,-13152,9360,10410,-12723,-36742,-10089,21214,-4977,-14575,-16032,-20594,5899,5770,-682,-53114,6426,44360,36527,-20548,-14435,-28193,18552,36165,-34275,21369,2513,-15885,-36125,37095,11122,-11382,-25770,-16340,-17513,26173,-3465,12356,19492,22773,57157,11853,14345,-19630,-9008,19462,12487,-19508,26639,-13382,-34537,26288,20261,6647,12663,5196,12377,-3249,-33807,-6670,-29208,-22168,-18593,-40519,13776,-18718,-50613,-2114,-15530,3426,-66824,-11553,-33009,47892,66,-16164,51010,1689,-29602,-36829,-31410,-6664,3471,-455,19169,-52305,370,-3323,30962,7688,25872,7845,16859,-5989,-5069,17297,-7631,17063,74613,-11704,23486,-7464,26991,-57253,-21087,20490,-2889,39730,16468,18756,-24057,-13182,31892,-12153,-28538,-4583,30344,-24010,34746,-6254,16412,18435,21965,-6185,34633,-15035,47208,13497,68659,-30878,-3893,39938,34058,-43208,-17571,24665,-11792,24139,2543,13362,10087,14862,-10376,-9908,-8598,24128,-1390,4355,-7055,30880,-35401,-16512,-1617,22924,5106,-9828,-3112,29543,909,4499,5957,-16260,317,-30540,-66991,-1198,-1828,8587,-10283,-42373,-20978,47624,52421,-34352,-10335,26845,-24984,16682,35435,16445,7065,10094,-30502,30270,3461,-44648,-35714,-1332,-46991,6364,-14377,-13048,-48655,12148,-4242,-7358,40690,24013,-16801,48588,29930,2209,-48531,-11368,6404,7057,-18963,-23815,-14354,-17994
464,35002,29504,-2368,-27727,15575,9883,-38593,-16906,-30815,22601,19156,7582,17587,-13442,14273,-15197,-22601,40718,23974,3841,-41134,-750,-3264,-41162,25046,-13234,-2239,16310,1604,20426,14887,520,23584,2012,-5400,-4885,-22499,9837,-7012,1687,-38289,1287,25839,-21227,14769,39407,-2893,38821,20435,40840,-28256,-16338,22187,7228,-3536,-17629,-12897,8315,9160,-8484,-39550,-8325,22371,-4611,-17534,-16918,-20342,6956,3968,514,-50944,8404,43913,38501,-20865,-15830,-23361,17613,38164,-35762,20899,3948,-17474,-35770,36146,12165,-10361,-23730,-15405,-19517,21423,-1057,11182,18025,22249,55426,13029,17636,-19038,-10758,17749,12478,-16932,28384,-13161,-34860,25370,20301,3462,11487,3825,11809,-2342,-32565,-7372,-28597,-20678,-15107,-38597,10976,-17865,-48869,-1752,-16039,4671,-64161,-12403,-33455,50099,-27,-14129,50287,3267,-28233,-38808,-32757,-8810,1071,-3330,15039,-50470,-1297,-5259,31059,7395,25317,4731,15864,-4091,-4804,17613,-5947,20783,72619,-13393,20792,-6399,26185,-59651,-19033,20141,-277,39612,13552,16651,-24574,-14027,34800,-13392,-29767,-2447,33310,-18854,37260,-5918,15981,18818,23931,-1956,33181,-13723,44982,13007,66492,-31193,-6490,36503,31287,-40714,-17607,20825,-9161,21628,3490,10614,9760,16000,-13039,-14874,-10552,27020,-2639,2718,-8784,28498,-36064,-14783,-33,20897,4035,-10304,-5914,28851,205,6687,6893,-17331,-1494,-30950,-67186,-392,-3053,7878,-9271,-42541,-23442,45494,49460,-33768,-10633,26344,-25884,13869,35000,15152,5510,11978,-31396,28844,3555,-45361,-34617,-1703,-47795,6206,-14280,-14745,-49862,12450,-3030,-9276,38317,20789,-17024,49637,30477,3469,-48795,-10645,3880,7936,-15651,-26557,-17357,-13257
465,33152,29352,-1930,-28432,14763,9074,-39852,-15936,-29254,22609,15766,10383,13453,-10216,10307,-15848,-21909,38353,21529,881,-40886,-220,-2188,-39818,24935,-16436,-1478,16884,3696,16134,14858,5627,21840,1323,-5694,-1871,-21043,10488,-10782,1940,-39437,3573,28471,-17845,13968,41649,195,34361,17959,40968,-26184,-20794,19858,8847,-2072,-18145,-12702,8486,4536,-10193,-35865,-6891,21652,-8088,-19655,-12861,-19320,4578,8049,70,-52220,6096,44083,36773,-20685,-12861,-26449,16090,33020,-32914,21085,3514,-16281,-38427,35246,9420,-8351,-25770,-18511,-18270,24451,-1453,6702,18591,24001,56870,13925,11608,-18421,-10269,18157,14101,-17592,29633,-8995,-36076,26242,21367,6306,12235,4687,10925,-2872,-31068,-7959,-27828,-22706,-21666,-43866,12627,-21164,-51174,-469,-15656,7909,-68657,-16744,-34185,48803,-780,-12539,49619,1864,-25850,-37620,-31500,-8398,4378,-181,19424,-50259,70,-3657,29072,8068,22849,10627,14630,-8910,-4429,20042,-4803,20738,74222,-10849,23981,-7074,27421,-56437,-19991,26141,-3593,36939,15424,17451,-23623,-14402,29807,-15181,-28601,722,30989,-18998,33270,-10492,14651,16194,23187,-6710,32085,-19356,42041,12397,68589,-34214,-5347,37559,33130,-38896,-19051,26164,-10430,23512,2227,17015,11379,16012,-9617,-14169,-8989,22710,-383,6540,-6557,31268,-33768,-16039,2177,20046,5863,-10618,-4959,30797,2743,8820,4553,-18215,-60,-29081,-65603,-3190,-792,7962,-10220,-45609,-24237,44765,50242,-37004,-7892,23301,-21300,13406,31909,14789,2274,11277,-33208,31608,2719,-44075,-33889,1338,-50010,6877,-15213,-9073,-48453,9633,-428,-6818,39029,22707,-14297,49366,29649,4630,-46557,-12944,5257,6282,-18296,-25625,-12755,-15181
466,35612,28764,-526,-30079,16987,12370,-40899,-18114,-28416,22290,17273,8624,14284,-14254,10741,-15299,-23317,37977,23869,5473,-40787,-348,-3623,-42545,26849,-17240,-972,16975,2458,17925,17368,909,23707,332,-11043,-3669,-20824,7010,-8591,-222,-39768,3642,27640,-21060,15804,40032,-2315,34954,20672,42325,-27391,-19482,21027,6864,-2422,-17820,-12404,6085,7813,-9390,-37570,-11780,20626,-7599,-17036,-14822,-20460,4873,7734,-698,-54300,7510,43998,34158,-18604,-12613,-27131,19592,37476,-36732,18106,5584,-16416,-36028,35375,9537,-12058,-26590,-16208,-17399,23545,-2282,12738,18728,19828,56049,13893,14912,-17649,-10218,17767,11179,-18648,31532,-8910,-33841,24052,22107,3470,11464,5968,10627,-2611,-31597,-5383,-29322,-22000,-19710,-43973,12981,-19390,-51902,-2269,-14790,5973,-65928,-12330,-33326,50967,-2589,-15086,48404,3054,-27408,-39942,-30208,-7647,1577,-3639,15387,-51335,67,-2766,30650,7690,22649,7777,17205,-6110,-2303,18229,-7579,16543,72855,-10043,23283,-7299,27465,-60979,-21661,22246,-1441,36177,14570,17839,-24537,-14285,31044,-12535,-29075,-3004,30277,-22546,33498,-7311,14591,17333,24467,-3891,33451,-16182,42845,11398,69220,-29802,-5425,36113,31552,-44119,-16991,22581,-11268,22834,1976,9846,10551,16520,-7543,-10862,-7316,24921,874,5128,-5133,29781,-35945,-14857,-420,22263,3610,-9963,-4072,30849,1257,5481,5691,-19859,560,-31246,-64777,-1381,-3714,8658,-9074,-41509,-24895,43202,48796,-34554,-11206,25739,-23812,14057,34341,12352,4354,11591,-32216,30394,5950,-45131,-34442,-517,-51291,6278,-12720,-14589,-47939,15123,-1858,-10138,38742,23081,-13961,50104,32631,5233,-46683,-11403,5190,7033,-17396,-27393,-14969,-12178
467,37007,29671,-3429,-30602,17878,8536,-39116,-18443,-33182,19422,19470,10735,16477,-13194,10574,-15317,-21833,43127,23601,6311,-42430,-2299,-1987,-39814,27396,-15374,-3627,20034,741,18589,11793,-260,24916,-418,-8874,-1948,-24043,10272,-9592,75,-35258,2605,26385,-18066,13973,43156,-2329,36829,18443,40616,-28857,-18496,19964,10685,-2876,-16574,-13952,11201,8617,-9862,-38171,-10084,17165,-2579,-17099,-17061,-21624,6553,8775,92,-54281,7979,39117,38565,-19430,-14882,-25131,19091,38747,-32280,20783,3594,-12687,-35790,37917,8088,-13384,-25071,-15409,-19298,29719,-4332,10168,17498,23196,56603,13460,18782,-17594,-7511,18299,10293,-21885,30160,-12322,-34348,27903,23564,3885,11065,4852,9225,-3233,-34413,-4757,-28976,-20790,-18178,-45481,12998,-20700,-52721,-6794,-17450,7205,-65072,-10129,-37965,48920,394,-16886,48897,1357,-27666,-37320,-28263,-8758,1286,-974,15870,-48708,-903,-6062,29316,9976,24461,8233,13788,-7205,-4561,17780,-7924,17182,72225,-12131,22057,-3082,30559,-58238,-18036,18681,712,37422,16900,20678,-26782,-14222,32774,-12029,-29927,-1259,31350,-19319,36675,-6993,19097,17329,23072,-5445,33689,-12432,46004,15299,65746,-31662,-3334,38538,31399,-47826,-15502,24051,-11280,20517,480,13861,9484,16633,-13547,-12812,-10007,25500,595,1054,-7688,32683,-34665,-18377,-394,22941,5632,-7221,-7086,30692,966,3420,4963,-18191,-2946,-29444,-66140,512,-328,7524,-10524,-41122,-22865,46463,53417,-38793,-13276,27200,-24085,15916,34774,18428,8609,11064,-30738,29497,3843,-43792,-36029,-2360,-44082,3294,-13504,-13411,-50678,9671,-4694,-8778,38365,18167,-13486,48408,31018,2794,-49021,-13069,5233,10606,-15886,-23707,-12485,-16855
468,35873,29817,-1279,-30856,16135,7410,-38265,-17283,-29621,20746,19069,13093,11984,-13550,11450,-15213,-22863,39359,19234,4009,-42021,-1817,-2473,-40489,24439,-17902,-3252,18897,69,16296,14858,2206,25619,-47,-9510,-4405,-23422,9260,-8043,-69,-36707,4650,28585,-18683,13850,42811,-1784,37211,18993,38858,-29873,-18456,21284,10127,593,-16879,-11859,8193,7131,-11891,-38692,-8024,21562,-4782,-15839,-14801,-18194,3904,8733,34,-51546,7400,42104,38163,-19571,-13431,-24388,15893,35521,-33028,18264,3777,-18236,-37793,35494,8729,-9959,-25031,-14815,-14577,26729,-2695,9828,18919,24407,54272,14719,15502,-19816,-11650,18114,11108,-19939,29093,-12360,-33585,24378,22241,5601,12893,1825,8931,-1976,-34637,-8561,-29821,-23454,-17992,-44601,13615,-17236,-51841,-3465,-14912,6890,-66411,-13265,-34896,47399,-2396,-15739,51778,2458,-25689,-37996,-30954,-8762,-508,2338,19288,-50563,1362,-5837,27481,6846,25287,9288,14768,-6103,-4634,16921,-7409,20072,74308,-8802,24072,-5647,29796,-59739,-18946,20780,-2042,35852,15083,17287,-24624,-13397,32600,-9557,-28118,-4296,29502,-23030,34281,-6933,17429,18388,20997,-5325,33227,-18775,43479,12495,66246,-32472,-5936,38901,32531,-42554,-17885,23560,-7638,23424,2559,14525,11502,15161,-11545,-14899,-9730,24588,-621,3748,-9010,30661,-33868,-16252,-1643,21721,4345,-9724,-8124,27754,2313,4028,5774,-18273,936,-30229,-64620,-2442,512,8105,-7763,-40401,-24136,44566,51598,-37766,-10405,24153,-22382,14302,35780,15574,6751,9982,-31620,31680,3799,-43390,-35533,-3353,-46460,3039,-13229,-11335,-46851,10687,-1192,-8433,38567,23514,-15713,47479,30914,5331,-47040,-15117,5865,7801,-16845,-24798,-13212,-16035
